ID	Family_name	AUTOTYP_area
usan1239	Nuclear Trans New Guinea	N Coast New Guinea
kuot1243	NA	N Coast New Guinea
lavu1241	NA	Oceania
meny1245	Angan	Interior New Guinea
mali1284	Baining	N Coast New Guinea
uman1240	Dagan	S New Guinea
hata1243	Hatam-Mansim	N Coast New Guinea
kili1267	Austronesian	S New Guinea
koko1269	Austronesian	Oceania
sulk1246	NA	N Coast New Guinea
bilu1245	NA	Oceania
yele1255	NA	S New Guinea
anem1249	NA	N Coast New Guinea
kolp1236	NA	N Coast New Guinea
mana1295	Austronesian	N Coast New Guinea
meng1267	Austronesian	N Coast New Guinea
siwa1245	South Bougainville	Oceania
naka1262	Austronesian	N Coast New Guinea
siar1238	Austronesian	N Coast New Guinea
unea1237	Austronesian	N Coast New Guinea
yabe1254	Austronesian	N Coast New Guinea
muss1246	Austronesian	N Coast New Guinea
dutc1256	Indo-European	Europe
taki1248	Austronesian	N Coast New Guinea
kaul1240	Austronesian	N Coast New Guinea
roto1249	North Bougainville	Oceania
tean1237	Austronesian	Oceania
west2599	Nuclear Trans New Guinea	Interior New Guinea
ngge1241	Nuclear Trans New Guinea	Interior New Guinea
tele1256	Nuclear Trans New Guinea	Interior New Guinea
abui1241	Timor-Alor-Pantar	Oceania
bann1247	Austronesian	Oceania
yima1243	Lower Sepik-Ramu	N Coast New Guinea
kora1294	Nuclear Trans New Guinea	S New Guinea
koro1312	Nuclear Trans New Guinea	S New Guinea
sele1250	Nuclear Trans New Guinea	N Coast New Guinea
suab1238	Inanwatan	N Coast New Guinea
kobo1249	Nuclear Trans New Guinea	Interior New Guinea
tiwi1244	NA	N Australia
biak1248	Austronesian	N Coast New Guinea
kris1246	Sko	N Coast New Guinea
maun1240	Iwaidjan Proper	N Australia
sisi1250	Austronesian	Oceania
gras1249	Koiarian	S New Guinea
huaa1250	Nuclear Trans New Guinea	Interior New Guinea
mian1256	Nuclear Trans New Guinea	N Coast New Guinea
alam1246	Sepik	N Coast New Guinea
fore1270	Nuclear Trans New Guinea	Interior New Guinea
kuma1276	Austronesian	Oceania
muna1247	Austronesian	Oceania
tido1248	North Halmahera	Oceania
anin1240	Gunwinyguan	N Australia
buru1303	Austronesian	Oceania
taga1270	Austronesian	Oceania
kaya1319	Tangkic	N Australia
motl1237	Austronesian	Oceania
band1339	Pama-Nyungan	S Australia
kair1263	Austronesian	N Coast New Guinea
nucl1622	Anim	S New Guinea
buna1278	Timor-Alor-Pantar	Oceania
meya1236	East Bird's Head	N Coast New Guinea
lard1243	Tangkic	N Australia
sout2856	Austronesian	Oceania
tauy1241	Nuclear Trans New Guinea	Interior New Guinea
xara1244	Austronesian	Oceania
idaa1241	Austronesian	Southeast Asia
