Source feature	Target feature	Weight	Dependency
SAHUL4.3.09a	SAHUL146	0.701814309095801	0.298185690904199
SAHUL4.3.09a	SAHUL023	0.685931101864998	0.314068898135002
SAHUL4.3.09a	SAHUL029	2.22044604925031e-16	1
SAHUL4.3.08a	SAHUL096	0.531768286049389	0.468231713950611
SAHUL127	SAHUL048	0.502430344770439	0.497569655229561
SAHUL127	SAHUL1.1.03	0.642358830974178	0.357641169025822
SAHUL127	SAHUL078	0.710055350767084	0.289944649232916
SAHUL127	SAHUL112	0.653895454004632	0.346104545995368
SAHUL127	SAHUL067	0.569167443130404	0.430832556869596
SAHUL127	SAHUL031	0.709463447753386	0.290536552246614
SAHUL127	SAHUL2.7.01	0.366124133598988	0.633875866401012
SAHUL127	SAHUL2.5.08	0.741150701654872	0.258849298345128
SAHUL127	SAHUL005	0.674178593679388	0.325821406320612
SAHUL127	SAHUL006	0.660586301762139	0.339413698237861
SAHUL097	SAHUL2.5.07	2.22044604925031e-16	1
SAHUL097	SAHUL040	2.22044604925031e-16	1
SAHUL097	SAHUL039	2.22044604925031e-16	1
SAHUL2.5.07	SAHUL056	0.471936668044251	0.528063331955749
SAHUL2.5.07	SAHUL019	0.41712923003391	0.58287076996609
SAHUL2.5.07	SAHUL116	0.187423253755192	0.812576746244808
SAHUL2.5.07	SAHUL141	0.695422721816843	0.304577278183157
SAHUL2.5.07	SAHUL020	0.664576514976707	0.335423485023293
SAHUL2.5.07	SAHUL036	0.671197726131061	0.328802273868939
SAHUL096	SAHUL2.5.07	2.22044604925031e-16	1
SAHUL096	SAHUL156	2.22044604925031e-16	1
SAHUL096	SAHUL4.3.05a	2.22044604925031e-16	1
SAHUL096	SAHUL034	0.506320491741756	0.493679508258244
SAHUL096	SAHUL040	2.22044604925031e-16	1
SAHUL096	SAHUL039	2.22044604925031e-16	1
SAHUL096	SAHUL111	0.445136761914485	0.554863238085515
SAHUL095	SAHUL3.5.02	2.22044604925031e-16	1
SAHUL095	SAHUL039	2.22044604925031e-16	1
SAHUL098	SAHUL121	2.22044604925031e-16	1
SAHUL056	SAHUL038	0.420619835714288	0.579380164285712
SAHUL056	SAHUL050	0.378814730343703	0.621185269656297
SAHUL124	SAHUL134	2.22044604925031e-16	1
SAHUL153	SAHUL095	0.696714069397276	0.303285930602724
SAHUL153	SAHUL155	0.572519823977754	0.427480176022246
SAHUL153	SAHUL012	0.725396696880487	0.274603303119513
SAHUL4.3.08	SAHUL029	2.22044604925031e-16	1
SAHUL048	SAHUL027	0.68348592119381	0.31651407880619
SAHUL048	SAHUL139	0.745409484804579	0.254590515195421
SAHUL048	SAHUL138	0.643724018052173	0.356275981947827
SAHUL049	SAHUL160	0.675938706210147	0.324061293789853
SAHUL049	SAHUL2.1.05d	0.624637114708851	0.375362885291149
SAHUL049	SAHUL154	0.67613405295177	0.32386594704823
SAHUL049	SAHUL109	0.614882560599144	0.385117439400856
SAHUL049	SAHUL007	0.70877153985566	0.29122846014434
SAHUL160	SAHUL122	0.647790031064184	0.352209968935816
SAHUL160	SAHUL080	0.673569613067449	0.326430386932551
SAHUL1.1.02	SAHUL135	2.22044604925031e-16	1
SAHUL120	SAHUL100	0.689133265633045	0.310866734366955
SAHUL156	SAHUL127	0.598365311525983	0.401634688474017
SAHUL119	SAHUL032	0.720711784083332	0.279288215916668
SAHUL4.3.07	SAHUL144	0.681716214427518	0.318283785572482
SAHUL027	SAHUL098	2.22044604925031e-16	1
SAHUL027	SAHUL057	0.601930066277222	0.398069933722778
SAHUL1.1.03	SAHUL2.6.09b	0.708559043442987	0.291440956557013
SAHUL1.1.03	SAHUL159	0.690003886367113	0.309996113632887
SAHUL1.1.03	SAHUL081	0.613058388465949	0.386941611534051
SAHUL1.1.03	SAHUL040	2.22044604925031e-16	1
SAHUL1.1.03	SAHUL008	0.604806382292103	0.395193617707897
SAHUL1.1.03	SAHUL009	0.432580895599519	0.567419104400481
SAHUL1.1.03	SAHUL039	2.22044604925031e-16	1
SAHUL1.1.03	SAHUL001	0.472195425695588	0.527804574304412
SAHUL2.1.05b	SAHUL024	0.433145208177752	0.566854791822248
SAHUL2.1.05d	SAHUL025	0.465065216197721	0.534934783802279
SAHUL2.1.05d	SAHUL039	2.22044604925031e-16	1
SAHUL024	SAHUL2.1.05a	2.22044604925031e-16	1
SAHUL024	SAHUL126	0.530597035175896	0.469402964824104
SAHUL024	SAHUL3.6.05	0.721134725317093	0.278865274682907
SAHUL024	SAHUL130	0.579556310281095	0.420443689718905
SAHUL024	SAHUL040	2.22044604925031e-16	1
SAHUL024	SAHUL041	0.257384613390802	0.742615386609198
SAHUL024	SAHUL039	2.22044604925031e-16	1
SAHUL024	SAHUL117	0.601021936188522	0.398978063811478
SAHUL024	SAHUL137	0.581560954928397	0.418439045071603
SAHUL024	SAHUL043	0.396205065726543	0.603794934273457
SAHUL024	SAHUL044	0.680105907832881	0.319894092167119
SAHUL024	SAHUL089	0.628403313272643	0.371596686727357
SAHUL025	SAHUL153	0.679949569273277	0.320050430726723
SAHUL025	SAHUL088	0.54055595417854	0.45944404582146
SAHUL025	SAHUL2.1.05b	0.643159898098974	0.356840101901026
SAHUL025	SAHUL123	0.561459019692145	0.438540980307855
SAHUL025	SAHUL2.1.05c	2.22044604925031e-16	1
SAHUL025	SAHUL002	0.555631139039131	0.44436886096086903
SAHUL025	SAHUL114	0.598661381095103	0.401338618904897
SAHUL025	SAHUL040	2.22044604925031e-16	1
SAHUL025	SAHUL039	2.22044604925031e-16	1
SAHUL025	SAHUL105	0.720262294667503	0.279737705332497
SAHUL025	SAHUL087	0.7605377558672	0.2394622441328
SAHUL025	SAHUL129	0.315034276223385	0.684965723776615
SAHUL025	SAHUL094	0.566476421506405	0.433523578493595
SAHUL025	SAHUL072	0.59879652944516	0.40120347055484
SAHUL025	SAHUL063	0.683100070999798	0.316899929000202
SAHUL025	SAHUL062	0.687479342771441	0.312520657228559
SAHUL025	SAHUL003	0.427620274756751	0.572379725243249
SAHUL123	SAHUL150	0.496099898072383	0.503900101927617
SAHUL2.1.05a	SAHUL040	2.22044604925031e-16	1
SAHUL2.1.05a	SAHUL039	2.22044604925031e-16	1
